credit.policy,purpose,int.rate, installment , log.annual.inc ,dti,fico, days.with.cr.line , revol.bal ,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,all_other,7%, 155 , 10.6 ,2.55,772," 8,190 "," 2,562 ",14,2,0,0,0
1,all_other,10%, 113 , 9.9 ,1.5,682," 1,410 "," 1,882 ",32.4,0,0,0,0
1,debt_consolidation,12%, 99 , 10.5 ,7.47,667," 2,550 "," 1,064 ",70.9,2,0,1,0
1,credit_card,8%, 110 , 11.5 ,8.52,752," 4,980 "," 6,432 ",6,0,1,0,0
1,all_other,11%, 33 , 10.4 ,14.47,687," 1,110 "," 4,485 ",36.9,1,0,0,1
1,all_other,10%, 113 , 11.3 ,11.06,702," 4,980 "," 16,310 ",20.5,0,1,0,0
1,debt_consolidation,10%, 161 , 11.8 ,8.55,712," 5,940 "," 20,969 ",40.2,0,0,0,0
1,debt_consolidation,14%, 341 , 10.5 ,17.38,707," 2,700 "," 22,213 ",65.9,0,0,0,0
1,home_improvement,8%, 156 , 12.3 ,6.48,752," 5,340 "," 2,160 ",2.3,1,0,0,0
1,credit_card,7%, 155 , 11.2 ,4.56,812," 9,809 ", 813 ,1,0,0,0,0
1,home_improvement,8%, 235 , 11.9 ,2.72,757," 5,202 "," 23,678 ",24.4,4,0,0,0
1,debt_consolidation,10%, 258 , 10.8 ,15.13,722," 2,640 "," 11,289 ",47.8,3,0,0,0
1,small_business,15%, 225 , 12.3 ,6.45,677," 6,240 "," 56,411 ",75.3,0,0,0,1
1,home_improvement,10%, 80 , 11.2 ,20,772," 4,921 ", 269 ,3.8,3,0,0,1
1,home_improvement,13%, 84 , 10.4 ,20,682," 5,492 "," 3,408 ",35.1,1,0,0,1
1,debt_consolidation,11%, 507 , 10.6 ,13.5,712," 5,369 "," 6,513 ",34.3,3,0,1,1
1,educational,7%, 124 , 10.6 ,3.45,772," 1,740 ", 330 ,11,0,0,0,0
1,credit_card,9%, 63 , 11.2 ,6.07,712," 2,550 "," 5,967 ",19.8,1,0,0,0
1,all_other,11%, 131 , 9.8 ,18,707," 2,192 "," 5,533 ",79.6,1,0,0,0
1,home_improvement,8%, 94 , 11.7 ,2.14,762," 8,370 "," 21,050 ",1,0,0,0,0
1,all_other,8%, 94 , 10.8 ,5.35,762," 8,370 "," 21,050 ",0.7,0,0,0,0
1,all_other,9%, 89 , 11.7 ,15,742," 3,026 "," 8,155 ",14.9,1,0,0,0
1,all_other,10%, 128 , 11.5 ,15,722," 3,026 "," 8,155 ",14.9,1,0,0,0
1,home_improvement,9%, 95 , 11.0 ,12.23,737," 2,730 "," 3,678 ",30.7,0,0,0,0
1,debt_consolidation,12%, 180 , 10.5 ,7.1,662," 2,944 "," 2,040 ",36.2,2,0,0,0
1,credit_card,15%, 444 , 11.0 ,19.52,667," 2,701 "," 33,074 ",68.8,2,0,0,0
1,all_other,8%, 125 , 11.0 ,3.46,747," 2,519 "," 1,918 ",17.1,0,0,0,0
1,credit_card,15%, 644 , 11.4 ,5.24,662," 1,770 "," 22,379 ",62.2,0,0,0,0
1,small_business,10%, 642 , 11.5 ,2.86,737," 2,190 "," 10,296 ",42.5,0,0,0,1
1,small_business,12%, 105 , 9.6 ,12.24,672," 1,290 "," 2,867 ",55.1,3,0,0,1
1,debt_consolidation,11%, 158 , 10.3 ,12.36,682," 1,770 "," 12,310 ",86.1,0,0,0,0
1,debt_consolidation,9%, 384 , 11.9 ,4.8,767," 13,350 "," 61,921 ",39.1,0,0,0,0
1,credit_card,11%, 218 , 11.4 ,18,702," 3,725 "," 16,738 ",26.1,2,0,0,0
1,all_other,8%, 298 , 11.1 ,3.49,792," 5,939 "," 40,384 ",9.2,1,0,0,0
1,debt_consolidation,8%, 156 , 10.7 ,5,762," 2,131 "," 1,359 ",5.6,2,0,0,0
1,debt_consolidation,12%, 330 , 12.3 ,20,727," 10,292 "," 107,501 ",44.8,2,0,0,0
1,all_other,8%, 314 , 12.1 ,0.72,787," 8,010 "," 3,054 ",5.6,3,0,0,0
1,all_other,8%, 298 , 11.4 ,2.44,792," 8,718 "," 40,384 ",9.6,0,0,0,0
1,home_improvement,9%, 240 , 11.4 ,9.66,792," 4,529 "," 128,000 ",0,3,0,0,0
1,debt_consolidation,7%, 62 , 11.7 ,0.43,772," 5,936 "," 4,709 ",18.5,0,0,0,0
1,all_other,12%, 94 , 10.7 ,2.8,667," 5,460 "," 2,850 ",75,0,1,0,0
1,small_business,15%, 74 , 11.5 ,16.89,702," 4,080 ", 51 ,0,0,0,0,1
1,home_improvement,8%, 314 , 11.9 ,5.84,792," 5,365 "," 37,152 ",3.7,0,0,0,0
1,debt_consolidation,9%, 543 , 11.2 ,9.55,762," 5,700 "," 3,839 ",16.6,1,0,0,0
1,home_improvement,8%, 314 , 11.4 ,3.11,797," 5,364 "," 37,152 ",3.7,0,0,0,0
1,credit_card,12%, 266 , 11.2 ,10.2,672," 3,599 "," 26,283 ",39.5,0,1,0,1
1,debt_consolidation,10%, 211 , 10.7 ,5.87,692," 1,742 "," 5,607 ",42.2,0,0,0,0
1,all_other,12%, 234 , 10.0 ,5.01,662," 1,110 "," 1,061 ",81.9,3,0,0,0
1,debt_consolidation,10%, 324 , 11.7 ,14.4,722," 4,680 "," 56,740 ",77.5,1,0,0,0
1,credit_card,11%, 236 , 11.0 ,7.22,712," 5,519 "," 40,598 ",77.3,1,0,0,0
1,debt_consolidation,14%, 352 , 11.2 ,17.83,687," 1,290 "," 3,815 ",6.5,1,0,0,0
1,all_other,7%, 117 , 11.7 ,0,772," 3,930 ", -   ,0,1,0,0,0
1,debt_consolidation,7%, 65 , 11.6 ,0.22,812," 16,213 ", 50 ,0.3,0,0,0,0
1,small_business,16%, 700 , 11.4 ,1.53,667," 3,604 "," 4,569 ",56.4,1,0,0,0
1,educational,11%, 195 , 9.9 ,8.15,692," 3,090 "," 8,528 ",86.1,0,0,0,0
1,credit_card,11%, 296 , 10.4 ,22.15,747," 2,789 "," 14,345 ",45.8,0,0,0,0
1,small_business,11%, 218 , 10.8 ,18.38,707," 3,359 ", 113 ,2.4,1,0,0,0
1,debt_consolidation,14%, 263 , 11.0 ,9.8,677," 3,090 "," 12,231 ",81,3,0,0,1
1,debt_consolidation,15%, 248 , 11.0 ,20.76,667," 3,750 "," 13,552 ",69.1,0,1,0,0
1,credit_card,10%, 194 , 11.4 ,10.6,692," 2,490 "," 16,813 ",63.9,0,0,0,0
1,debt_consolidation,12%, 301 , 10.6 ,5.08,667," 3,690 "," 26,233 ",62.9,3,0,1,1
1,all_other,7%, 164 , 11.4 ,2.64,782," 9,210 "," 5,760 ",16,0,0,0,0
1,all_other,10%, 151 , 10.7 ,3.26,687," 6,510 ", 105 ,35,1,1,0,1
1,debt_consolidation,11%, 218 , 11.0 ,13.77,682," 2,160 "," 11,490 ",95.7,0,0,0,0
1,home_improvement,13%, 85 , 10.6 ,20.67,692," 5,250 "," 17,641 ",30.5,3,1,0,0
1,all_other,11%, 328 , 10.3 ,20.4,742," 3,270 ", -   ,0,3,0,0,0
1,all_other,8%, 165 , 10.9 ,12,797," 8,790 "," 12,430 ",19.2,1,0,0,0
1,debt_consolidation,11%, 141 , 10.5 ,9.87,707," 1,560 "," 12,323 ",44,0,0,0,0
1,all_other,10%, 98 , 11.4 ,9.13,697," 3,300 "," 38,624 ",97.8,0,0,0,0
1,small_business,12%, 166 , 9.2 ,0,662," 2,250 ", 875 ,54.7,2,1,0,1
1,small_business,12%, 284 , 11.4 ,6.38,667," 7,230 "," 1,196 ",12,3,4,0,0
1,small_business,14%, 194 , 13.1 ,2.4,697," 2,760 "," 26,628 ",60.4,3,1,0,0
1,all_other,10%, 139 , 10.3 ,24.81,767," 5,790 "," 6,752 ",24.6,2,0,0,0
1,debt_consolidation,12%, 70 , 9.4 ,14.4,662," 1,469 ", 458 ,91.6,1,0,0,1
1,credit_card,8%, 252 , 11.6 ,9.71,752," 3,509 "," 16,786 ",44.7,0,0,0,0
1,all_other,9%, 263 , 11.7 ,12.16,742," 9,720 "," 7,336 ",29.9,0,0,0,0
1,all_other,9%, 105 , 11.0 ,3.83,702," 3,690 "," 7,089 ",41.9,1,0,0,0
1,debt_consolidation,8%, 173 , 10.9 ,6.29,742," 5,100 "," 18,388 ",68.9,0,0,0,0
1,credit_card,10%, 39 , 10.4 ,1.13,677," 1,920 ", 613 ,76.6,2,0,0,0
1,educational,12%, 100 , 10.3 ,12.77,662," 1,110 ", 566 ,51.5,3,1,0,1
1,debt_consolidation,13%, 336 , 10.5 ,18.92,682," 2,219 "," 9,166 ",50.4,1,0,0,0
1,all_other,11%, 163 , 10.6 ,11.78,707," 4,889 "," 5,406 ",33.4,0,0,1,1
1,all_other,10%, 32 , 10.5 ,5.83,687," 2,159 "," 1,188 ",3,2,0,0,1
1,educational,10%, 97 , 9.8 ,15.4,707," 11,249 "," 12,003 ",40.4,1,0,0,0
1,all_other,11%, 72 , 11.0 ,8.14,707," 4,800 "," 20,511 ",62,1,0,0,1
1,small_business,10%, 91 , 11.2 ,18,732," 3,691 "," 55,720 ",10,2,0,0,0
1,all_other,8%, 260 , 10.8 ,9.89,772," 9,870 "," 7,744 ",17.1,0,0,0,0
1,all_other,10%, 169 , 11.2 ,17.57,737," 5,430 "," 51,761 ",38,1,0,0,0
1,credit_card,12%, 205 , 10.7 ,17.76,717," 1,500 ", 579 ,23.2,0,0,0,0
1,debt_consolidation,13%, 162 , 11.4 ,16.87,707," 9,060 "," 34,776 ",54.3,0,0,0,1
1,debt_consolidation,10%, 227 , 10.9 ,10.05,692," 1,890 "," 8,047 ",33.8,0,0,0,0
1,all_other,11%, 163 , 9.6 ,24.4,737," 3,210 ", -   ,0,3,0,0,0
1,debt_consolidation,12%, 158 , 10.1 ,18.19,672," 2,586 ", 409 ,81.8,0,1,0,0
1,small_business,9%, 795 , 11.0 ,8.93,822," 9,697 ", 185 ,0.5,0,0,0,0
1,debt_consolidation,10%, 159 , 11.3 ,4.84,727," 6,330 "," 48,251 ",50.1,2,0,0,0
1,all_other,10%, 97 , 10.5 ,19.93,687," 2,580 ", 772 ,96.5,0,0,0,0
1,debt_consolidation,12%, 264 , 10.8 ,8.04,672," 3,089 "," 1,019 ",4.5,1,1,0,0
1,small_business,11%, 405 , 10.8 ,16.39,692," 5,640 "," 8,332 ",39.9,2,0,0,0
1,all_other,8%, 308 , 11.2 ,9.09,797," 6,090 "," 1,790 ",4.5,1,0,0,0
1,debt_consolidation,13%, 840 , 11.2 ,24.85,722," 6,330 "," 62,739 ",74.7,3,0,0,1
1,all_other,11%, 269 , 11.6 ,24.01,767," 4,666 "," 29,901 ",71.2,2,0,0,1
1,debt_consolidation,12%, 265 , 10.9 ,11.31,667," 1,560 "," 5,867 ",74.3,1,0,0,0
1,home_improvement,10%, 802 , 11.3 ,0.8,732," 2,130 "," 10,605 ",22.1,1,0,0,0
1,debt_consolidation,11%, 505 , 11.7 ,16.97,697," 9,659 "," 57,196 ",44.5,3,0,0,1
1,home_improvement,9%, 318 , 12.5 ,2.97,712," 4,919 ", 481 ,80.2,2,0,0,1
1,educational,8%, 315 , 10.3 ,4.2,737," 1,560 "," 2,282 ",19,1,0,0,0
1,all_other,11%, 131 , 9.6 ,8.92,672," 1,140 "," 3,614 ",61.3,1,0,0,0
1,debt_consolidation,11%, 228 , 11.1 ,8.5,682," 6,840 "," 14,930 ",79,1,0,1,0
1,credit_card,10%, 643 , 11.7 ,13.07,727," 10,530 "," 33,989 ",82.9,0,0,0,0
1,all_other,15%, 52 , 10.1 ,3.84,632," 1,530 "," 1,238 ",61.9,1,1,0,0
1,educational,9%, 572 , 10.6 ,15.37,747," 7,500 "," 4,746 ",18.5,2,0,0,0
1,all_other,8%, 150 , 10.0 ,6.34,752," 3,029 "," 3,470 ",25.5,0,0,0,0
1,all_other,10%, 97 , 11.0 ,11.98,682," 1,799 "," 12,640 ",83.2,0,0,0,0
1,home_improvement,7%, 93 , 11.4 ,0,812," 8,250 ", 368 ,1.2,0,0,0,0
1,credit_card,11%, 192 , 11.1 ,19.82,677," 4,290 "," 30,597 ",89.5,1,1,0,0
1,all_other,12%, 594 , 10.2 ,10.8,682," 5,050 "," 8,537 ",75.5,0,0,0,0
1,debt_consolidation,11%, 392 , 10.5 ,15.74,692," 1,500 "," 15,649 ",54.5,2,0,0,0
1,educational,8%, 156 , 10.9 ,9.55,767," 12,960 "," 4,067 ",7.3,0,0,0,0
1,debt_consolidation,10%, 156 , 10.5 ,7.51,687," 2,795 "," 5,836 ",68.7,0,0,1,0
1,credit_card,10%, 486 , 11.4 ,11.95,702," 5,070 "," 24,615 ",94.7,0,0,0,0
1,all_other,10%, 117 , 10.3 ,7.88,687," 5,130 "," 7,600 ",71.7,0,0,1,0
1,debt_consolidation,11%, 223 , 10.8 ,18.68,682," 1,889 "," 9,495 ",87.9,2,0,0,1
1,credit_card,8%, 150 , 9.9 ,10.26,757," 6,330 "," 4,921 ",30.4,0,0,0,0
1,educational,12%, 211 , 11.5 ,1.83,667," 3,421 "," 11,200 ",23.2,1,0,0,0
1,debt_consolidation,7%, 186 , 11.1 ,6.11,777," 7,440 "," 2,444 ",5.6,3,0,0,0
1,debt_consolidation,9%, 791 , 11.0 ,0.82,767," 2,100 ", 916 ,6.8,0,0,0,0
1,small_business,9%, 795 , 13.3 ,3.83,782," 3,660 "," 148,829 ",6.6,5,0,0,1
1,credit_card,9%, 127 , 10.7 ,18.71,747," 3,630 "," 3,209 ",12.6,0,0,0,0
1,credit_card,11%, 294 , 11.3 ,17.17,677," 3,840 "," 7,570 ",82.3,0,0,0,0
1,debt_consolidation,11%, 405 , 11.3 ,9.23,687," 2,519 "," 13,126 ",96.5,0,0,1,0
1,debt_consolidation,12%, 398 , 11.9 ,20.48,687," 4,452 "," 66,654 ",51.6,1,0,0,0
1,debt_consolidation,7%, 179 , 11.5 ,1.2,812," 16,259 ", 50 ,0.3,0,0,0,0
1,educational,10%, 29 , 9.4 ,16.7,687," 2,069 "," 3,084 ",65.6,3,0,0,1
1,small_business,10%, 418 , 11.4 ,6.48,712," 5,610 "," 2,598 ",23.8,1,0,0,0
1,credit_card,11%, 130 , 11.0 ,17.81,682," 6,330 "," 18,168 ",68.5,2,0,0,0
1,all_other,11%, 99 , 10.4 ,22.79,682," 9,389 "," 24,218 ",85.3,2,0,0,0
1,all_other,8%, 16 , 9.8 ,4.27,722," 1,470 ", -   ,0,0,0,0,0
1,credit_card,11%, 523 , 12.2 ,10.7,697," 7,320 "," 72,303 ",73.7,1,0,0,0
1,all_other,9%, 557 , 11.9 ,0.12,757," 1,128 "," 1,032 ",5,0,0,0,0
1,all_other,11%, 315 , 10.7 ,14.6,677," 3,630 ", 133 ,4.2,1,0,0,0
1,debt_consolidation,12%, 528 , 10.7 ,12.16,682," 2,130 "," 34,023 ",57.7,1,2,0,1
1,major_purchase,7%, 93 , 11.2 ,11.18,757," 4,500 "," 12,430 ",29.6,5,0,0,0
1,debt_consolidation,8%, 203 , 10.8 ,13.53,787," 10,260 "," 10,742 ",8.9,3,0,0,0
1,debt_consolidation,12%, 166 , 10.6 ,7.02,667," 2,789 "," 2,197 ",75.8,0,2,0,1
1,all_other,10%, 159 , 10.7 ,15.3,692," 4,410 ", 88 ,23.8,1,3,0,1
1,debt_consolidation,10%, 486 , 10.8 ,11.88,702," 7,020 "," 13,867 ",33.7,0,0,0,0
1,all_other,10%, 322 , 11.2 ,10.28,702," 4,920 "," 3,943 ",98.6,3,0,0,1
1,debt_consolidation,9%, 190 , 10.1 ,19.45,757," 3,870 "," 5,405 ",40,2,0,0,0
1,debt_consolidation,12%, 376 , 10.4 ,23.96,712," 3,030 "," 12,102 ",49,1,0,0,0
1,debt_consolidation,12%, 599 , 11.6 ,18.3,682," 4,379 "," 18,076 ",81.4,1,0,0,0
1,debt_consolidation,12%, 132 , 10.2 ,23.2,702," 5,279 "," 4,504 ",39.2,1,0,0,1
1,small_business,12%, 829 , 10.9 ,9.74,712," 4,859 "," 25,852 ",60.5,0,0,0,0
1,credit_card,11%, 605 , 10.9 ,17.56,707," 8,061 "," 32,438 ",43,0,1,0,0
1,debt_consolidation,9%, 538 , 10.9 ,11.51,747," 6,240 "," 20,380 ",48.1,2,0,0,0
1,credit_card,9%, 173 , 10.6 ,16.09,707," 2,220 "," 38,054 ",61.2,0,0,0,0
1,small_business,11%, 605 , 10.5 ,4.67,697," 1,410 ", 25 ,0.2,2,0,0,0
1,all_other,10%, 290 , 10.5 ,3.38,697," 1,782 "," 3,305 ",55.1,2,0,0,0
1,major_purchase,12%, 530 , 11.4 ,15.1,682," 3,900 ", 348 ,4.8,0,0,0,1
1,all_other,9%, 158 , 10.1 ,6.15,722," 1,350 "," 3,015 ",25.3,0,0,0,0
1,debt_consolidation,11%, 391 , 10.3 ,19.84,702," 2,042 "," 7,336 ",71.9,1,0,0,0
1,credit_card,12%, 301 , 10.9 ,4.98,662," 6,630 "," 8,644 ",72.6,1,0,0,0
1,small_business,12%, 660 , 11.5 ,17.81,707," 3,629 ", 93 ,0,2,0,0,1
1,small_business,7%, 218 , 10.7 ,1.65,777," 2,879 "," 2,698 ",9.5,0,0,0,0
1,home_improvement,10%, 389 , 11.5 ,5.58,697," 4,800 "," 19,009 ",30,0,0,0,0
1,major_purchase,9%, 158 , 10.8 ,0.38,717," 12,930 ", 498 ,7.3,2,1,0,0
1,debt_consolidation,12%, 320 , 11.0 ,19.28,672," 4,740 "," 10,358 ",91.7,2,0,1,1
1,credit_card,10%, 104 , 11.2 ,9.7,682," 12,780 "," 2,105 ",45.3,0,3,0,0
1,home_improvement,10%, 154 , 11.0 ,12.94,697," 2,969 "," 2,822 ",9.9,3,0,0,0
1,debt_consolidation,11%, 651 , 11.6 ,11.96,707," 5,070 "," 21,004 ",97.7,0,0,0,0
1,all_other,14%, 82 , 10.8 ,24.08,667," 2,820 "," 11,675 ",75.8,1,0,0,0
1,all_other,9%, 239 , 9.9 ,10.37,712," 1,230 "," 3,933 ",43.7,0,0,0,0
1,debt_consolidation,13%, 336 , 11.0 ,7.51,662," 4,109 "," 7,251 ",80.6,3,0,2,0
1,all_other,12%, 93 , 10.7 ,19.19,692," 4,440 ", 88 ,44,1,3,0,1
1,all_other,9%, 96 , 10.5 ,2.69,697," 4,680 "," 1,492 ",33.2,2,0,0,0
1,debt_consolidation,10%, 96 , 10.1 ,14.16,692," 1,918 "," 7,121 ",33.7,0,0,0,0
1,debt_consolidation,13%, 554 , 11.0 ,19.22,677," 3,060 "," 17,641 ",69.5,2,0,0,0
1,small_business,14%, 859 , 11.3 ,20.79,682," 3,059 "," 30,946 ",61.5,3,0,0,1
1,major_purchase,8%, 473 , 11.3 ,7.96,772," 5,909 ", -   ,0,0,0,0,0
1,credit_card,11%, 587 , 11.2 ,10.34,697," 2,669 "," 23,391 ",90.7,1,0,0,0
1,major_purchase,10%, 225 , 9.9 ,21.23,772," 5,881 "," 16,324 ",48,0,0,0,0
1,debt_consolidation,13%, 484 , 10.5 ,8.47,662," 2,670 "," 7,104 ",93.5,2,0,0,1
1,debt_consolidation,12%, 400 , 10.1 ,14.5,672," 1,950 "," 9,273 ",43.9,0,0,0,0
1,debt_consolidation,12%, 232 , 10.8 ,17.02,672," 4,380 "," 6,718 ",94.6,3,0,0,0
1,small_business,10%, 802 , 11.2 ,17.06,767," 5,691 "," 12,017 ",12.1,4,0,0,1
1,debt_consolidation,11%, 305 , 11.2 ,18.96,692," 5,430 "," 5,749 ",43.2,1,1,0,0
1,small_business,12%, 836 , 11.3 ,7.99,692," 4,739 "," 6,530 ",21.8,0,1,0,0
1,all_other,8%, 125 , 10.1 ,6,752," 2,729 "," 2,666 ",12.1,0,0,0,0
1,all_other,10%, 113 , 10.8 ,17.65,687," 2,070 "," 3,761 ",55.4,2,0,0,0
1,credit_card,14%, 842 , 11.7 ,12.81,677," 5,340 "," 33,698 ",91.3,0,0,0,0
1,debt_consolidation,11%, 817 , 11.2 ,22.13,737," 9,900 "," 3,472 ",4.5,1,0,0,1
1,debt_consolidation,16%, 422 , 10.5 ,20.82,667," 6,750 "," 14,534 ",48.9,3,1,0,0
1,educational,9%, 575 , 11.0 ,9.96,732," 2,732 "," 6,703 ",47.5,1,0,0,0
1,all_other,13%, 405 , 11.6 ,18.25,667," 4,358 "," 5,861 ",53.8,2,0,0,0
1,debt_consolidation,13%, 168 , 10.1 ,18.65,662," 1,380 "," 5,061 ",72.3,0,1,0,0
1,debt_consolidation,10%, 677 , 10.9 ,3.77,722," 6,149 "," 16,888 ",39.5,0,0,0,0
1,all_other,12%, 132 , 10.8 ,9.14,667," 3,990 ", 463 ,92.6,0,0,0,0
1,debt_consolidation,9%, 281 , 10.1 ,0,712," 3,360 ", -   ,0,0,1,0,0
1,debt_consolidation,10%, 802 , 10.8 ,9.78,742," 2,550 "," 8,283 ",12.7,4,0,0,0
1,credit_card,11%, 505 , 11.6 ,10.86,687," 3,420 "," 46,525 ",93.6,0,0,0,0
1,home_improvement,7%, 180 , 10.6 ,2.32,772," 2,610 "," 2,650 ",6.6,0,0,0,0
